event,start,end,hours,peak
growing 200 L pH outside 5.5–6.5,2026-07-31 13:00:00+07:00,2026-07-31 14:40:00+07:00,1.8,6.85
nursery-2 100 L pH outside 5.5–6.5,2026-07-31 13:00:00+07:00,2026-07-31 14:40:00+07:00,1.8,7.47
nursery-2 100 L pH outside 5.5–6.5,2026-07-31 11:50:00+07:00,2026-07-31 12:40:00+07:00,1.0,7.36
growing 200 L pH outside 5.5–6.5,2026-07-31 11:50:00+07:00,2026-07-31 12:40:00+07:00,1.0,7.02
nursery-2 100 L |EC − setpoint| > 0.3,2026-07-31 11:50:00+07:00,2026-07-31 12:40:00+07:00,1.0,0.91
nursery-2 100 L pH outside 5.5–6.5,2026-07-31 09:50:00+07:00,2026-07-31 11:30:00+07:00,1.8,8.0
growing 200 L |EC − setpoint| > 0.3,2026-07-31 09:10:00+07:00,2026-07-31 10:50:00+07:00,1.8,1.02
growing 200 L pH outside 5.5–6.5,2026-07-31 09:10:00+07:00,2026-07-31 11:30:00+07:00,2.5,7.44
growing 200 L |EC − setpoint| > 0.3,2026-07-31 04:40:00+07:00,2026-07-31 05:00:00+07:00,0.5,0.89
growing 200 L pH outside 5.5–6.5,2026-07-31 04:40:00+07:00,2026-07-31 05:00:00+07:00,0.5,7.11
growing 200 L |EC − setpoint| > 0.3,2026-07-30 06:20:00+07:00,2026-07-30 07:10:00+07:00,1.0,0.89
growing 200 L pH outside 5.5–6.5,2026-07-30 06:20:00+07:00,2026-07-30 07:10:00+07:00,1.0,7.16
growing 200 L |EC − setpoint| > 0.3,2026-07-30 05:30:00+07:00,2026-07-30 06:00:00+07:00,0.7,0.82
growing 200 L pH outside 5.5–6.5,2026-07-30 05:30:00+07:00,2026-07-30 06:00:00+07:00,0.7,7.16
nursery-2 100 L pH outside 5.5–6.5,2026-07-30 05:20:00+07:00,2026-07-30 06:00:00+07:00,0.8,7.62
growing 200 L pH outside 5.5–6.5,2026-07-30 04:50:00+07:00,2026-07-30 05:10:00+07:00,0.5,7.15
growing 200 L |EC − setpoint| > 0.3,2026-07-30 04:50:00+07:00,2026-07-30 05:10:00+07:00,0.5,0.82
nursery-2 100 L pH outside 5.5–6.5,2026-07-30 02:00:00+07:00,2026-07-30 02:20:00+07:00,0.5,7.61
growing 200 L pH outside 5.5–6.5,2026-07-30 01:50:00+07:00,2026-07-30 02:10:00+07:00,0.5,7.15
growing 200 L |EC − setpoint| > 0.3,2026-07-30 01:50:00+07:00,2026-07-30 02:10:00+07:00,0.5,0.83
growing 200 L pH outside 5.5–6.5,2026-07-30 01:10:00+07:00,2026-07-30 01:30:00+07:00,0.5,7.17
growing 200 L |EC − setpoint| > 0.3,2026-07-30 01:10:00+07:00,2026-07-30 01:30:00+07:00,0.5,0.82
nursery-2 100 L pH outside 5.5–6.5,2026-07-30 01:10:00+07:00,2026-07-30 01:40:00+07:00,0.7,7.61
growing 200 L |EC − setpoint| > 0.3,2026-07-30 00:00:00+07:00,2026-07-30 00:50:00+07:00,1.0,0.87
growing 200 L pH outside 5.5–6.5,2026-07-30 00:00:00+07:00,2026-07-30 00:50:00+07:00,1.0,7.18
growing 200 L |EC − setpoint| > 0.3,2026-07-29 22:40:00+07:00,2026-07-29 23:40:00+07:00,1.2,0.92
growing 200 L pH outside 5.5–6.5,2026-07-29 22:40:00+07:00,2026-07-29 23:40:00+07:00,1.2,7.16
growing 200 L |EC − setpoint| > 0.3,2026-07-29 22:00:00+07:00,2026-07-29 22:20:00+07:00,0.5,0.89
growing 200 L pH outside 5.5–6.5,2026-07-29 22:00:00+07:00,2026-07-29 22:20:00+07:00,0.5,7.17
nursery-2 100 L pH outside 5.5–6.5,2026-07-29 21:50:00+07:00,2026-07-30 00:20:00+07:00,2.7,7.6
nursery-2 100 L pH outside 5.5–6.5,2026-07-29 18:40:00+07:00,2026-07-29 20:30:00+07:00,2.0,7.6
nursery-2 100 L pH outside 5.5–6.5,2026-07-29 17:20:00+07:00,2026-07-29 18:20:00+07:00,1.2,7.58
growing 200 L pH outside 5.5–6.5,2026-07-29 16:10:00+07:00,2026-07-29 16:50:00+07:00,0.8,7.19
growing 200 L |EC − setpoint| > 0.3,2026-07-29 16:10:00+07:00,2026-07-29 16:50:00+07:00,0.8,0.94
growing 200 L pH outside 5.5–6.5,2026-07-29 14:00:00+07:00,2026-07-29 15:50:00+07:00,2.0,7.19
growing 200 L |EC − setpoint| > 0.3,2026-07-29 14:00:00+07:00,2026-07-29 15:50:00+07:00,2.0,0.93
growing 200 L pH outside 5.5–6.5,2026-07-29 10:10:00+07:00,2026-07-29 13:10:00+07:00,3.2,7.21
growing 200 L |EC − setpoint| > 0.3,2026-07-29 10:10:00+07:00,2026-07-29 13:10:00+07:00,3.2,0.94
nursery-2 100 L pH outside 5.5–6.5,2026-07-29 10:10:00+07:00,2026-07-29 17:00:00+07:00,7.0,7.58
growing 200 L pH outside 5.5–6.5,2026-07-28 23:50:00+07:00,2026-07-29 09:50:00+07:00,10.2,7.22
growing 200 L |EC − setpoint| > 0.3,2026-07-28 23:50:00+07:00,2026-07-29 09:50:00+07:00,10.2,0.93
nursery-2 100 L pH outside 5.5–6.5,2026-07-28 23:50:00+07:00,2026-07-29 09:50:00+07:00,10.2,7.58
growing 200 L pH outside 5.5–6.5,2026-07-28 02:20:00+07:00,2026-07-28 23:30:00+07:00,21.3,7.28
growing 200 L |EC − setpoint| > 0.3,2026-07-28 02:20:00+07:00,2026-07-28 23:30:00+07:00,21.3,0.94
nursery-2 100 L pH outside 5.5–6.5,2026-07-28 02:20:00+07:00,2026-07-28 23:30:00+07:00,21.3,7.54
growing 200 L pH outside 5.5–6.5,2026-07-28 01:10:00+07:00,2026-07-28 02:00:00+07:00,1.0,7.25
growing 200 L |EC − setpoint| > 0.3,2026-07-28 01:10:00+07:00,2026-07-28 02:00:00+07:00,1.0,0.88
nursery-2 100 L pH outside 5.5–6.5,2026-07-28 01:10:00+07:00,2026-07-28 02:00:00+07:00,1.0,7.48
nursery-2 100 L pH outside 5.5–6.5,2026-07-27 23:30:00+07:00,2026-07-27 23:50:00+07:00,0.5,7.46
growing 200 L pH outside 5.5–6.5,2026-07-27 23:30:00+07:00,2026-07-27 23:50:00+07:00,0.5,7.22
growing 200 L |EC − setpoint| > 0.3,2026-07-27 23:30:00+07:00,2026-07-27 23:50:00+07:00,0.5,0.86
growing 200 L pH outside 5.5–6.5,2026-07-27 22:50:00+07:00,2026-07-27 23:10:00+07:00,0.5,7.24
growing 200 L |EC − setpoint| > 0.3,2026-07-27 22:50:00+07:00,2026-07-27 23:10:00+07:00,0.5,0.92
nursery-2 100 L pH outside 5.5–6.5,2026-07-27 22:50:00+07:00,2026-07-27 23:10:00+07:00,0.5,7.45
growing 200 L |EC − setpoint| > 0.3,2026-07-27 21:20:00+07:00,2026-07-27 22:10:00+07:00,1.0,0.88
nursery-2 100 L pH outside 5.5–6.5,2026-07-27 21:20:00+07:00,2026-07-27 22:10:00+07:00,1.0,7.45
growing 200 L pH outside 5.5–6.5,2026-07-27 21:20:00+07:00,2026-07-27 22:10:00+07:00,1.0,7.25
growing 200 L pH outside 5.5–6.5,2026-07-27 19:30:00+07:00,2026-07-27 21:00:00+07:00,1.7,7.24
growing 200 L |EC − setpoint| > 0.3,2026-07-27 19:30:00+07:00,2026-07-27 21:00:00+07:00,1.7,0.88
nursery-2 100 L pH outside 5.5–6.5,2026-07-27 19:30:00+07:00,2026-07-27 21:00:00+07:00,1.7,7.44
growing 200 L pH outside 5.5–6.5,2026-07-27 17:30:00+07:00,2026-07-27 19:10:00+07:00,1.8,7.24
nursery-2 100 L pH outside 5.5–6.5,2026-07-27 17:30:00+07:00,2026-07-27 19:10:00+07:00,1.8,7.43
growing 200 L |EC − setpoint| > 0.3,2026-07-27 17:30:00+07:00,2026-07-27 19:10:00+07:00,1.8,0.88
growing 200 L pH outside 5.5–6.5,2026-07-27 08:30:00+07:00,2026-07-27 17:10:00+07:00,8.8,7.3
growing 200 L |EC − setpoint| > 0.3,2026-07-27 08:30:00+07:00,2026-07-27 17:10:00+07:00,8.8,0.96
growing 200 L pH outside 5.5–6.5,2026-07-27 07:20:00+07:00,2026-07-27 07:40:00+07:00,0.5,7.24
growing 200 L |EC − setpoint| > 0.3,2026-07-27 07:20:00+07:00,2026-07-27 07:40:00+07:00,0.5,0.88
growing 200 L |EC − setpoint| > 0.3,2026-07-27 05:40:00+07:00,2026-07-27 06:40:00+07:00,1.2,0.9
growing 200 L pH outside 5.5–6.5,2026-07-27 05:40:00+07:00,2026-07-27 06:40:00+07:00,1.2,7.25
growing 200 L |EC − setpoint| > 0.3,2026-07-27 02:30:00+07:00,2026-07-27 05:20:00+07:00,3.0,0.96
growing 200 L pH outside 5.5–6.5,2026-07-27 02:30:00+07:00,2026-07-27 05:20:00+07:00,3.0,7.24
growing 200 L |EC − setpoint| > 0.3,2026-07-27 01:10:00+07:00,2026-07-27 02:10:00+07:00,1.2,0.87
growing 200 L pH outside 5.5–6.5,2026-07-27 01:10:00+07:00,2026-07-27 02:10:00+07:00,1.2,7.23
growing 200 L |EC − setpoint| > 0.3,2026-07-26 16:50:00+07:00,2026-07-27 00:50:00+07:00,8.2,0.97
growing 200 L pH outside 5.5–6.5,2026-07-26 16:50:00+07:00,2026-07-27 00:50:00+07:00,8.2,7.19
growing 200 L |EC − setpoint| > 0.3,2026-07-26 07:20:00+07:00,2026-07-26 16:30:00+07:00,9.3,0.94
growing 200 L pH outside 5.5–6.5,2026-07-26 07:20:00+07:00,2026-07-26 16:30:00+07:00,9.3,7.14
growing 200 L |EC − setpoint| > 0.3,2026-07-26 06:00:00+07:00,2026-07-26 07:00:00+07:00,1.2,0.88
growing 200 L pH outside 5.5–6.5,2026-07-26 06:00:00+07:00,2026-07-26 07:00:00+07:00,1.2,7.07
growing 200 L |EC − setpoint| > 0.3,2026-07-26 00:10:00+07:00,2026-07-26 05:40:00+07:00,5.7,0.93
growing 200 L pH outside 5.5–6.5,2026-07-26 00:10:00+07:00,2026-07-26 05:40:00+07:00,5.7,7.1
growing 200 L |EC − setpoint| > 0.3,2026-07-25 23:10:00+07:00,2026-07-25 23:50:00+07:00,0.8,0.89
growing 200 L pH outside 5.5–6.5,2026-07-25 23:10:00+07:00,2026-07-25 23:50:00+07:00,0.8,7.06
growing 200 L pH outside 5.5–6.5,2026-07-25 21:20:00+07:00,2026-07-25 22:50:00+07:00,1.7,7.05
growing 200 L |EC − setpoint| > 0.3,2026-07-25 21:20:00+07:00,2026-07-25 22:50:00+07:00,1.7,0.95
growing 200 L pH outside 5.5–6.5,2026-07-25 20:00:00+07:00,2026-07-25 21:00:00+07:00,1.2,7.05
growing 200 L |EC − setpoint| > 0.3,2026-07-25 20:00:00+07:00,2026-07-25 21:00:00+07:00,1.2,0.9
growing 200 L |EC − setpoint| > 0.3,2026-07-25 18:40:00+07:00,2026-07-25 19:40:00+07:00,1.2,0.92
growing 200 L pH outside 5.5–6.5,2026-07-25 18:40:00+07:00,2026-07-25 19:40:00+07:00,1.2,7.02
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 17:40:00+07:00,2026-07-25 18:00:00+07:00,0.5,6.92
growing 200 L pH outside 5.5–6.5,2026-07-25 17:30:00+07:00,2026-07-25 18:20:00+07:00,1.0,6.94
growing 200 L |EC − setpoint| > 0.3,2026-07-25 17:30:00+07:00,2026-07-25 18:20:00+07:00,1.0,0.91
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 16:30:00+07:00,2026-07-25 17:10:00+07:00,0.8,6.91
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 14:40:00+07:00,2026-07-25 15:10:00+07:00,0.7,6.87
growing 200 L pH outside 5.5–6.5,2026-07-25 13:20:00+07:00,2026-07-25 17:10:00+07:00,4.0,7.23
growing 200 L |EC − setpoint| > 0.3,2026-07-25 13:20:00+07:00,2026-07-25 17:10:00+07:00,4.0,0.94
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 08:10:00+07:00,2026-07-25 09:40:00+07:00,1.7,4.91
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 07:00:00+07:00,2026-07-25 07:20:00+07:00,0.5,4.88
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 06:10:00+07:00,2026-07-25 06:40:00+07:00,0.7,4.9
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 04:30:00+07:00,2026-07-25 05:00:00+07:00,0.7,4.96
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 03:40:00+07:00,2026-07-25 04:10:00+07:00,0.7,4.93
nursery-2 100 L pH outside 5.5–6.5,2026-07-25 02:00:00+07:00,2026-07-25 03:20:00+07:00,1.5,4.92
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 23:30:00+07:00,2026-07-25 01:10:00+07:00,1.8,4.97
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 22:00:00+07:00,2026-07-24 22:50:00+07:00,1.0,4.92
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 20:00:00+07:00,2026-07-24 20:50:00+07:00,1.0,4.88
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 14:10:00+07:00,2026-07-24 19:40:00+07:00,5.7,4.87
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 11:30:00+07:00,2026-07-24 13:50:00+07:00,2.5,4.69
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 10:20:00+07:00,2026-07-24 11:10:00+07:00,1.0,4.68
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 09:00:00+07:00,2026-07-24 10:00:00+07:00,1.2,4.64
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 08:10:00+07:00,2026-07-24 08:40:00+07:00,0.7,4.63
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 02:50:00+07:00,2026-07-24 07:50:00+07:00,5.2,4.61
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 02:00:00+07:00,2026-07-24 02:30:00+07:00,0.7,4.43
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 01:10:00+07:00,2026-07-24 01:40:00+07:00,0.7,4.46
nursery-2 100 L pH outside 5.5–6.5,2026-07-24 00:10:00+07:00,2026-07-24 00:50:00+07:00,0.8,4.45
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 17:40:00+07:00,2026-07-23 21:00:00+07:00,3.5,4.39
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 16:20:00+07:00,2026-07-23 17:20:00+07:00,1.2,4.23
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 15:00:00+07:00,2026-07-23 16:00:00+07:00,1.2,4.22
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 11:50:00+07:00,2026-07-23 14:40:00+07:00,3.0,4.16
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 11:00:00+07:00,2026-07-23 11:30:00+07:00,0.7,4.07
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 08:00:00+07:00,2026-07-23 10:40:00+07:00,2.8,4.09
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 05:20:00+07:00,2026-07-23 07:40:00+07:00,2.5,4.09
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 04:00:00+07:00,2026-07-23 05:00:00+07:00,1.2,4.04
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 01:50:00+07:00,2026-07-23 02:50:00+07:00,1.2,3.96
nursery-2 100 L pH outside 5.5–6.5,2026-07-23 00:30:00+07:00,2026-07-23 01:30:00+07:00,1.2,3.9
nursery-2 100 L pH outside 5.5–6.5,2026-07-22 23:50:00+07:00,2026-07-23 00:10:00+07:00,0.5,3.85
nursery-2 100 L pH outside 5.5–6.5,2026-07-22 21:00:00+07:00,2026-07-22 21:50:00+07:00,1.0,3.81
nursery-2 100 L pH outside 5.5–6.5,2026-07-22 19:50:00+07:00,2026-07-22 20:20:00+07:00,0.7,3.76
nursery-2 100 L pH outside 5.5–6.5,2026-07-22 18:30:00+07:00,2026-07-22 19:30:00+07:00,1.2,3.74
nursery-2 100 L pH outside 5.5–6.5,2026-07-22 16:30:00+07:00,2026-07-22 18:10:00+07:00,1.8,3.72
nursery-2 100 L pH outside 5.5–6.5,2026-07-22 14:20:00+07:00,2026-07-22 16:10:00+07:00,2.0,3.83
nursery-2 100 L pH outside 5.5–6.5,2026-07-22 13:10:00+07:00,2026-07-22 14:00:00+07:00,1.0,4.75
growing 200 L pH outside 5.5–6.5,2026-07-20 23:40:00+07:00,2026-07-21 01:40:00+07:00,2.2,5.49
growing 200 L pH outside 5.5–6.5,2026-07-20 14:00:00+07:00,2026-07-20 15:50:00+07:00,2.0,5.49
growing 200 L pH outside 5.5–6.5,2026-07-20 13:00:00+07:00,2026-07-20 13:40:00+07:00,0.8,5.46
growing 200 L pH outside 5.5–6.5,2026-07-20 02:10:00+07:00,2026-07-20 02:50:00+07:00,0.8,5.49
growing 200 L pH outside 5.5–6.5,2026-07-19 23:50:00+07:00,2026-07-20 01:50:00+07:00,2.2,5.47
growing 200 L pH outside 5.5–6.5,2026-07-19 13:30:00+07:00,2026-07-19 15:30:00+07:00,2.2,5.5
growing 200 L pH outside 5.5–6.5,2026-07-19 12:00:00+07:00,2026-07-19 13:00:00+07:00,1.2,5.46
growing 200 L pH outside 5.5–6.5,2026-07-19 01:00:00+07:00,2026-07-19 02:00:00+07:00,1.2,5.49
growing 200 L pH outside 5.5–6.5,2026-07-18 23:40:00+07:00,2026-07-19 00:40:00+07:00,1.2,5.46
growing 200 L pH outside 5.5–6.5,2026-07-18 15:40:00+07:00,2026-07-18 16:00:00+07:00,0.5,5.5
growing 200 L pH outside 5.5–6.5,2026-07-18 14:10:00+07:00,2026-07-18 15:20:00+07:00,1.3,5.48
growing 200 L pH outside 5.5–6.5,2026-07-18 00:40:00+07:00,2026-07-18 02:20:00+07:00,1.8,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 17:00:00+07:00,2026-07-17 19:20:00+07:00,2.5,5.3
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 15:50:00+07:00,2026-07-17 16:10:00+07:00,0.5,5.28
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 14:40:00+07:00,2026-07-17 15:10:00+07:00,0.7,5.28
growing 200 L pH outside 5.5–6.5,2026-07-17 14:30:00+07:00,2026-07-17 15:30:00+07:00,1.2,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 13:30:00+07:00,2026-07-17 14:20:00+07:00,1.0,5.26
growing 200 L pH outside 5.5–6.5,2026-07-17 13:10:00+07:00,2026-07-17 14:10:00+07:00,1.2,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 12:50:00+07:00,2026-07-17 13:10:00+07:00,0.5,5.26
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 11:50:00+07:00,2026-07-17 12:10:00+07:00,0.5,5.25
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 08:40:00+07:00,2026-07-17 11:30:00+07:00,3.0,5.25
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 07:00:00+07:00,2026-07-17 08:20:00+07:00,1.5,5.25
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 05:10:00+07:00,2026-07-17 06:20:00+07:00,1.3,5.26
nursery-2 100 L pH outside 5.5–6.5,2026-07-17 00:10:00+07:00,2026-07-17 04:50:00+07:00,4.8,5.24
growing 200 L pH outside 5.5–6.5,2026-07-16 23:50:00+07:00,2026-07-17 01:20:00+07:00,1.7,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-07-16 21:50:00+07:00,2026-07-16 22:10:00+07:00,0.5,5.22
nursery-2 100 L pH outside 5.5–6.5,2026-07-16 15:20:00+07:00,2026-07-16 19:30:00+07:00,4.3,5.21
nursery-2 100 L pH outside 5.5–6.5,2026-07-16 14:30:00+07:00,2026-07-16 15:00:00+07:00,0.7,5.2
nursery-2 100 L pH outside 5.5–6.5,2026-07-16 13:10:00+07:00,2026-07-16 14:10:00+07:00,1.2,5.19
nursery-2 100 L pH outside 5.5–6.5,2026-07-16 11:50:00+07:00,2026-07-16 12:50:00+07:00,1.2,5.18
nursery-2 100 L pH outside 5.5–6.5,2026-07-16 01:00:00+07:00,2026-07-16 11:30:00+07:00,10.7,5.19
growing 200 L pH outside 5.5–6.5,2026-07-15 23:00:00+07:00,2026-07-15 23:20:00+07:00,0.5,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-07-15 22:10:00+07:00,2026-07-15 23:20:00+07:00,1.3,5.14
growing 200 L pH outside 5.5–6.5,2026-07-15 22:10:00+07:00,2026-07-15 22:40:00+07:00,0.7,5.5
growing 200 L pH outside 5.5–6.5,2026-07-15 21:10:00+07:00,2026-07-15 21:50:00+07:00,0.8,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-07-15 21:10:00+07:00,2026-07-15 21:50:00+07:00,0.8,5.12
nursery-2 100 L pH outside 5.5–6.5,2026-07-15 19:50:00+07:00,2026-07-15 20:40:00+07:00,1.0,5.1
growing 200 L pH outside 5.5–6.5,2026-07-15 19:50:00+07:00,2026-07-15 20:40:00+07:00,1.0,5.49
growing 200 L pH outside 5.5–6.5,2026-07-15 18:40:00+07:00,2026-07-15 19:30:00+07:00,1.0,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-07-15 18:40:00+07:00,2026-07-15 19:30:00+07:00,1.0,5.12
nursery-2 100 L pH outside 5.5–6.5,2026-07-15 15:20:00+07:00,2026-07-15 18:20:00+07:00,3.2,5.12
growing 200 L pH outside 5.5–6.5,2026-07-15 15:20:00+07:00,2026-07-15 18:20:00+07:00,3.2,5.48
growing 200 L pH outside 5.5–6.5,2026-07-14 02:10:00+07:00,2026-07-15 15:00:00+07:00,37.0,5.49
growing 200 L pH outside 5.5–6.5,2026-07-10 22:20:00+07:00,2026-07-11 02:40:00+07:00,4.5,5.5
growing 200 L pH outside 5.5–6.5,2026-07-09 00:00:00+07:00,2026-07-09 18:50:00+07:00,19.0,5.5
growing 200 L pH outside 5.5–6.5,2026-07-08 12:30:00+07:00,2026-07-08 12:50:00+07:00,0.5,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-07-07 15:40:00+07:00,2026-07-15 15:00:00+07:00,191.5,5.09
growing 200 L pH outside 5.5–6.5,2026-07-07 14:10:00+07:00,2026-07-07 22:30:00+07:00,8.5,5.5
xy_md_22 (room) RH > 85 %,2026-07-06 07:20:00+07:00,2026-07-06 07:50:00+07:00,0.7,86.25
xy_md_21 (room) RH > 85 %,2026-07-06 07:20:00+07:00,2026-07-06 07:50:00+07:00,0.7,85.8
growing 200 L pH outside 5.5–6.5,2026-07-06 04:40:00+07:00,2026-07-06 19:40:00+07:00,15.2,5.5
growing 200 L pH outside 5.5–6.5,2026-07-05 02:20:00+07:00,2026-07-05 13:40:00+07:00,11.5,5.5
growing 200 L pH outside 5.5–6.5,2026-07-03 23:50:00+07:00,2026-07-04 12:10:00+07:00,12.5,5.5
growing 200 L pH outside 5.5–6.5,2026-07-02 21:40:00+07:00,2026-07-03 11:10:00+07:00,13.7,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-07-02 10:10:00+07:00,2026-07-06 17:00:00+07:00,103.0,5.5
nursery-2 100 L |EC − setpoint| > 0.3,2026-07-02 10:10:00+07:00,2026-07-14 15:50:00+07:00,293.8,1.01
nursery-2 100 L pH outside 5.5–6.5,2026-07-02 08:00:00+07:00,2026-07-02 09:50:00+07:00,2.0,4.04
growing 200 L pH outside 5.5–6.5,2026-07-02 00:30:00+07:00,2026-07-02 10:40:00+07:00,10.3,5.5
growing 200 L pH outside 5.5–6.5,2026-07-01 03:40:00+07:00,2026-07-01 14:00:00+07:00,10.5,5.5
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-30 12:00:00+07:00,2026-07-02 09:50:00+07:00,46.0,0.44
growing 200 L pH outside 5.5–6.5,2026-06-30 11:10:00+07:00,2026-06-30 18:50:00+07:00,7.8,5.49
xy_md_23 (room) RH > 85 %,2026-06-30 07:30:00+07:00,2026-06-30 08:10:00+07:00,0.8,87.45
xy_md_22 (room) RH > 85 %,2026-06-30 07:20:00+07:00,2026-06-30 08:10:00+07:00,1.0,87.8
xy_md_21 (room) RH > 85 %,2026-06-30 07:20:00+07:00,2026-06-30 08:10:00+07:00,1.0,86.65
xy_md_22 (room) RH > 85 %,2026-06-30 06:10:00+07:00,2026-06-30 06:30:00+07:00,0.5,86.25
xy_md_21 (room) RH > 85 %,2026-06-30 06:00:00+07:00,2026-06-30 06:20:00+07:00,0.5,86.6
growing 200 L pH outside 5.5–6.5,2026-06-30 02:00:00+07:00,2026-06-30 04:50:00+07:00,3.0,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-06-29 21:30:00+07:00,2026-07-01 17:30:00+07:00,44.2,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-06-29 14:30:00+07:00,2026-06-29 15:20:00+07:00,1.0,5.5
nursery-2 100 L |EC − setpoint| > 0.3,2026-06-29 13:40:00+07:00,2026-06-29 14:00:00+07:00,0.5,0.92
growing 200 L |EC − setpoint| > 0.3,2026-06-29 13:40:00+07:00,2026-06-29 14:00:00+07:00,0.5,0.35
nursery-2 100 L pH outside 5.5–6.5,2026-06-29 12:40:00+07:00,2026-06-29 13:30:00+07:00,1.0,5.5
xy_md_21 (room) RH > 85 %,2026-06-29 06:20:00+07:00,2026-06-29 08:10:00+07:00,2.0,93.7
xy_md_23 (room) RH > 85 %,2026-06-29 06:20:00+07:00,2026-06-29 08:10:00+07:00,2.0,93.65
xy_md_22 (room) RH > 85 %,2026-06-29 06:20:00+07:00,2026-06-29 08:10:00+07:00,2.0,94.25
xy_md_23 (room) RH > 85 %,2026-06-29 05:30:00+07:00,2026-06-29 05:50:00+07:00,0.5,92.75
xy_md_22 (room) RH > 85 %,2026-06-29 05:20:00+07:00,2026-06-29 05:50:00+07:00,0.7,94.2
xy_md_21 (room) RH > 85 %,2026-06-29 05:20:00+07:00,2026-06-29 05:50:00+07:00,0.7,93.7
growing 200 L pH outside 5.5–6.5,2026-06-29 05:10:00+07:00,2026-06-29 05:40:00+07:00,0.7,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-06-29 04:50:00+07:00,2026-06-29 05:20:00+07:00,0.7,5.5
xy_md_23 (room) RH > 85 %,2026-06-29 02:30:00+07:00,2026-06-29 05:00:00+07:00,2.7,93.95
xy_md_22 (room) RH > 85 %,2026-06-29 02:20:00+07:00,2026-06-29 05:00:00+07:00,2.8,94.5
xy_md_21 (room) RH > 85 %,2026-06-29 02:20:00+07:00,2026-06-29 05:00:00+07:00,2.8,93.4
nursery-2 100 L pH outside 5.5–6.5,2026-06-29 02:10:00+07:00,2026-06-29 04:20:00+07:00,2.3,5.5
xy_md_22 (room) RH > 85 %,2026-06-29 01:20:00+07:00,2026-06-29 02:00:00+07:00,0.8,93.95
xy_md_21 (room) RH > 85 %,2026-06-29 01:20:00+07:00,2026-06-29 02:00:00+07:00,0.8,93.4
xy_md_23 (room) RH > 85 %,2026-06-29 01:20:00+07:00,2026-06-29 02:00:00+07:00,0.8,92.55
xy_md_22 (room) RH > 85 %,2026-06-28 23:10:00+07:00,2026-06-29 01:00:00+07:00,2.0,93.9
xy_md_21 (room) RH > 85 %,2026-06-28 23:10:00+07:00,2026-06-29 01:00:00+07:00,2.0,92.15
xy_md_23 (room) RH > 85 %,2026-06-28 23:10:00+07:00,2026-06-29 01:00:00+07:00,2.0,93.35
xy_md_22 (room) RH > 85 %,2026-06-28 21:40:00+07:00,2026-06-28 22:40:00+07:00,1.2,94.3
xy_md_23 (room) RH > 85 %,2026-06-28 21:40:00+07:00,2026-06-28 22:40:00+07:00,1.2,93.25
xy_md_21 (room) RH > 85 %,2026-06-28 21:40:00+07:00,2026-06-28 22:40:00+07:00,1.2,93.15
